"","geneNames"
"791","ZYG11A"
"792","ECHDC2"
"793","SCP2"
"794","PODN"
"795","SLC1A7"
"796","CPT2"
"797","AL606760.2"
"798","C1orf123"
"799","AL606760.3"
"800","MAGOH"
"801","AL606760.1"
"802","LRP8"
"803","AL355483.4"
"804","AL355483.2"
"805","LINC01771"
"806","AC119428.2"
"807","GLIS1"
"808","NDC1"
"809","YIPF1"
"810","DIO1"
"811","HSPB11"
"812","LRRC42"
"813","LDLRAD1"
"814","TMEM59"
"815","TCEANC2"
"816","AL357673.1"
"817","CDCP2"
"818","AL357673.2"
"819","CYB5RL"
"820","MRPL37"
"821","SSBP3"
"822","SSBP3-AS1"
"823","AL161644.1"
"824","ACOT11"
"825","MROH7"
"826","TTC4"
"827","PARS2"
"828","TTC22"
"829","LEXM"
"830","DHCR24"
"831","AC096536.1"
"832","TMEM61"
"833","USP24"
"834","MIR4422HG"
"835","AL603840.1"
"836","AC119674.2"
"837","PLPP3"
"838","DAB1"
"839","DAB1-AS1"
"840","OMA1"
"841","TACSTD2"
"842","MYSM1"
"843","AL136985.3"
"844","JUN"
"845","LINC01135"
"846","AL136985.2"
"847","AC105277.1"
"848","LINC01358"
"849","AC093424.1"
"850","FGGY"
"851","AL035416.1"
"852","HOOK1"
"853","CYP2J2"
"854","C1orf87"
"855","LINC01748"
"856","NFIA"
"857","NFIA-AS2"
"858","TM2D1"
"859","AC099791.2"
"860","PATJ"
"861","L1TD1"
"862","KANK4"
"863","USP1"
"864","DOCK7"
"865","ANGPTL3"
"866","AC103923.1"
"867","ATG4C"
"868","AC096543.1"
"869","ALG6"
"870","ITGB3BP"
"871","EFCAB7"
"872","PGM1"
"873","ROR1"
"874","ROR1-AS1"
"875","CACHD1"
"876","RAVER2"
"877","JAK1"
"878","AL357078.3"
"879","AL357078.1"
"880","AK4"
"881","DNAJC6"
"882","LEPROT"
"883","LEPR"
"884","AL513493.1"
"885","PDE4B"
"886","SGIP1"
"887","AL139147.1"
"888","TCTEX1D1"
"889","WDR78"
"890","MIER1"
"891","SLC35D1"
"892","IL23R"
"893","IL12RB2"
"894","SERBP1"
"895","GADD45A"
"896","GNG12"
"897","DIRAS3"
"898","WLS"
"899","DEPDC1"
"900","LRRC7"
"901","LRRC40"
"902","SRSF11"
"903","AL353771.1"
"904","ANKRD13C"
"905","HHLA3"
"906","AL158839.1"
"907","CTH"
"908","AL354872.2"
"909","PTGER3"
"910","ZRANB2-AS1"
"911","ZRANB2"
"912","NEGR1"
"913","LRRIQ3"
"914","FPGT"
"915","FPGT-TNNI3K"
"916","TNNI3K"
"917","AC093158.1"
"918","ERICH3"
"919","AC135803.1"
"920","CRYZ"
"921","TYW3"
"922","AL357314.1"
"923","ACADM"
"924","RABGGTB"
"925","MSH4"
"926","ST6GALNAC3"
"927","AC104458.1"
"928","ST6GALNAC5"
"929","PIGK"
"930","AK5"
"931","AC095030.1"
"932","AC118549.1"
"933","USP33"
"934","MIGA1"
"935","NEXN-AS1"
"936","NEXN"
"937","FUBP1"
"938","DNAJB4"
"939","GIPC2"
"940","AC103591.3"
"941","PTGFR"
"942","IFI44L"
"943","IFI44"
"944","LINC01781"
